Transaction No,Date,Product No,Product Name,Price,Quantity,Customer No,Country
581482,12/09/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,17490,United Kingdom
581475,12/09/2019,22596,Christmas Star Wish List Chalkboard,10.65,36,13069,United Kingdom
581475,12/09/2019,23235,Storage Tin Vintage Leaf,11.53,12,13069,United Kingdom
581475,12/09/2019,23272,Tree T-Light Holder Willie Winkie,10.65,12,13069,United Kingdom
581475,12/09/2019,23239,Set Of 4 Knick Knack Tins Poppies,11.94,6,13069,United Kingdom
581475,12/09/2019,21705,Bag 500g Swirly Marbles,10.65,24,13069,United Kingdom
581475,12/09/2019,22118,Joy Wooden Block Letters,11.53,18,13069,United Kingdom
581475,12/09/2019,22119,Peace Wooden Block Letters,12.25,12,13069,United Kingdom
581475,12/09/2019,22217,T-Light Holder Hanging Lace,10.65,12,13069,United Kingdom
581482,12/09/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,,United Kingdom
581483,12/09/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,,United Kingdom
581484,12/09/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,,United Kingdom
581485,12/09/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,,United Kingdom
581486,12/09/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,,United Kingdom
